index,onetsoccode,agg_pairs,ai_score,software_score,robot_score
Market Research Analysts and Marketing Specialists,13-1161.00,22.0,1.1114596128463745,0.6836349368095398,0.31142663955688477
Energy Auditors,13-1199.01,35.0,0.7895471453666687,0.4323329031467438,0.2791607677936554
Security Management Specialists,13-1199.02,27.0,0.6200258135795593,0.4790860414505005,0.18809017539024353
Customs Brokers,13-1199.03,24.0,0.14604054391384125,0.23153914511203766,0.062293827533721924
Business Continuity Planners,13-1199.04,31.0,0.44557374715805054,0.3230728507041931,0.07399134337902069
Sustainability Specialists,13-1199.05,18.0,0.06217898428440094,0.1737745851278305,0.0358056016266346
Online Merchants,13-1199.06,48.0,0.32672426104545593,0.2486845850944519,0.2302863448858261
Accountants,13-2011.01,25.0,0.15046748518943787,0.08528408408164978,0.026082877069711685
Auditors,13-2011.02,31.0,0.728789210319519,0.4148554503917694,0.21551454067230225
Assessors,13-2021.01,31.0,0.9651576280593872,0.447755366563797,0.17559252679347992
"Appraisers, Real Estate",13-2021.02,32.0,1.0158319473266602,0.5030094385147095,0.23646453022956848
Budget Analysts,13-2031.00,23.0,0.20262354612350464,0.11555929481983185,0.021798741072416306
Credit Analysts,13-2041.00,20.0,0.8462123870849609,0.4568517208099365,0.056381843984127045
Financial Analysts,13-2051.00,24.0,0.5291670560836792,0.4340110719203949,0.12584137916564941
Personal Financial Advisors,13-2052.00,29.0,0.6812314391136169,0.4603857100009918,0.16626396775245667
Insurance Underwriters,13-2053.00,13.0,0.5935435891151428,0.2936512529850006,0.07152342796325684
Financial Examiners,13-2061.00,38.0,0.35186442732810974,0.217078298330307,0.14097321033477783
Credit Counselors,13-2071.00,45.0,0.29177677631378174,0.4067438542842865,0.13785600662231445
Loan Counselors,13-2071.01,38.0,0.18195179104804993,0.11917277425527573,0.0242629311978817
Loan Officers,13-2072.00,29.0,0.5574790239334106,0.33428502082824707,0.10568532347679138
"Tax Examiners and Collectors, and Revenue Agents",13-2081.00,43.0,0.24432159960269928,0.17275968194007874,0.06567740440368652
Tax Preparers,13-2082.00,19.0,0.7976614832878113,0.4697013795375824,0.1940680742263794
Financial Quantitative Analysts,13-2099.01,27.0,0.4883776903152466,0.3348265290260315,0.10275048762559891
Risk Management Specialists,13-2099.02,27.0,0.2488158792257309,0.15919475257396698,0.05076802149415016
"Fraud Examiners, Investigators and Analysts",13-2099.04,23.0,1.123961329460144,0.5366724729537964,0.24462144076824188
Computer and Information Research Scientists,15-1111.00,23.0,0.39208224415779114,0.2816730737686157,0.1749710887670517
Computer Systems Analysts,15-1121.00,32.0,0.2572021484375,0.24395491182804108,0.06714009493589401
Informatics Nurse Specialists,15-1121.01,22.0,0.7011703848838806,0.5052480101585388,0.13724879920482635
Information Security Analysts,15-1122.00,26.0,0.10330072790384293,0.40347036719322205,0.3280353248119354
Computer Programmers,15-1131.00,27.0,0.839927613735199,0.954484224319458,1.1479076147079468
"Software Developers, Applications",15-1132.00,22.0,0.8645336031913757,0.622183084487915,0.24749350547790527
"Software Developers, Systems Software",15-1133.00,28.0,0.5711479783058167,0.41643834114074707,0.18202100694179535
Web Developers,15-1134.00,54.0,0.3287040889263153,0.34705230593681335,0.11697337031364441
Database Administrators,15-1141.00,37.0,0.44043123722076416,0.31083962321281433,0.13048668205738068
Network and Computer Systems Administrators,15-1142.00,33.0,0.49703121185302734,0.5917103886604309,0.410803884267807
Telecommunications Engineering Specialists,15-1143.01,25.0,0.8784795999526978,0.4899837374687195,0.10843230038881302
Computer User Support Specialists,15-1151.00,24.0,0.6423274874687195,0.6340128183364868,0.38328689336776733
Computer Network Support Specialists,15-1152.00,29.0,0.7124878168106079,0.47941526770591736,0.13279502093791962
Software Quality Assurance Engineers and Testers,15-1199.01,38.0,0.431766152381897,0.3621029257774353,0.15823175013065338
Computer Systems Engineers/Architects,15-1199.02,34.0,1.1545454263687134,0.3519490957260132,0.08924222737550735
Web Administrators,15-1199.03,44.0,0.49683207273483276,0.5627054572105408,0.24307630956172943
Geospatial Information Scientists and Technologists,15-1199.04,28.0,0.5885366797447205,0.6725316643714905,0.3967272937297821
Geographic Information Systems Technicians,15-1199.05,15.0,0.5334815382957458,0.4432072937488556,0.18332026898860931
Database Architects,15-1199.06,25.0,0.2157241702079773,0.35309037566185,0.13357707858085632
Business Intelligence Analysts,15-1199.08,23.0,0.6280686259269714,0.6808939576148987,0.1860361546278
Information Technology Project Managers,15-1199.09,29.0,0.1966010183095932,0.6597976088523865,0.09936180710792542
Search Marketing Strategists,15-1199.10,41.0,0.7453676462173462,0.6896288990974426,0.12475427985191345
Video Game Designers,15-1199.11,24.0,1.024893045425415,0.9845375418663025,0.36047375202178955
Document Management Specialists,15-1199.12,28.0,0.635147213935852,0.679020881652832,0.18841195106506348
Actuaries,15-2011.00,22.0,0.8310695290565491,0.3583756685256958,0.10158269852399826
Mathematicians,15-2021.00,19.0,0.3361593782901764,0.2151920199394226,0.08677325397729874
Operations Research Analysts,15-2031.00,28.0,0.27027803659439087,0.16898207366466522,0.038601476699113846
Statisticians,15-2041.00,30.0,0.9664831161499023,0.42164698243141174,0.15353961288928986
Biostatisticians,15-2041.01,34.0,0.8199135065078735,0.5955650210380554,0.13470707833766937
Clinical Data Managers,15-2041.02,27.0,0.5240201354026794,0.5959412455558777,0.130306214094162
"Architects, Except Landscape and Naval",17-1011.00,35.0,0.563895046710968,0.47208938002586365,0.1737891584634781
Landscape Architects,17-1012.00,32.0,0.736480176448822,0.5187985301017761,0.1966525763273239
Cartographers and Photogrammetrists,17-1021.00,21.0,0.500353217124939,0.4318472146987915,0.10535994172096252
Surveyors,17-1022.00,34.0,0.6213927268981934,0.4241282343864441,0.33018288016319275
Geodetic Surveyors,17-1022.01,24.0,0.7883747220039368,0.404856413602829,0.23109596967697144
Aerospace Engineers,17-2011.00,26.0,0.5244287848472595,0.27563393115997314,0.21984365582466125
Agricultural Engineers,17-2021.00,15.0,0.6467496156692505,0.566886305809021,0.2125353217124939
Biomedical Engineers,17-2031.00,25.0,0.6455052495002747,0.5461025238037109,0.30415022373199463
Chemical Engineers,17-2041.00,19.0,1.4203590154647827,0.9563060998916626,0.46272987127304077
Civil Engineers,17-2051.00,29.0,0.531647264957428,0.36401811242103577,0.12432792782783508
Transportation Engineers,17-2051.01,38.0,0.7122259736061096,0.4427131712436676,0.1523732990026474
Computer Hardware Engineers,17-2061.00,26.0,0.7577788829803467,0.5054841637611389,0.1413726657629013
Electrical Engineers,17-2071.00,30.0,0.3329702615737915,0.5567474365234375,0.376938134431839
"Electronics Engineers, Except Computer",17-2072.00,27.0,0.5915916562080383,0.5458340644836426,0.41402220726013184
Radio Frequency Identification Device Specialists,17-2072.01,31.0,0.9364168643951416,0.6335920095443726,0.3390844762325287
Environmental Engineers,17-2081.00,27.0,0.3351515233516693,0.5463880300521851,0.25710394978523254
Water/Wastewater Engineers,17-2081.01,31.0,1.0315179824829102,0.517389178276062,0.1221000924706459
Industrial Safety and Health Engineers,17-2111.01,33.0,0.6035535931587219,0.5005193948745728,0.40416935086250305
Fire-Prevention and Protection Engineers,17-2111.02,20.0,0.8458060026168823,0.449339359998703,0.37704479694366455
Product Safety Engineers,17-2111.03,9.0,0.29038023948669434,0.41462743282318115,0.18678776919841766
Industrial Engineers,17-2112.00,38.0,0.5433355569839478,0.31415364146232605,0.08635453879833221
Human Factors Engineers and Ergonomists,17-2112.01,34.0,0.7256643772125244,0.5578290820121765,0.3414877951145172
Marine Engineers,17-2121.01,27.0,0.5251979231834412,0.3762940764427185,0.2770777940750122
Marine Architects,17-2121.02,10.0,1.3355408906936646,0.5659772753715515,0.16780303418636322
Materials Engineers,17-2131.00,24.0,1.030024528503418,0.5451900959014893,0.14692729711532593
Mechanical Engineers,17-2141.00,42.0,0.4151362478733063,0.2900314927101135,0.12195592373609543
Fuel Cell Engineers,17-2141.01,32.0,0.5079564452171326,0.7264701724052429,0.15953578054904938
Automotive Engineers,17-2141.02,25.0,0.5467877388000488,0.4954850673675537,0.18036314845085144
"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151.00,29.0,0.6249155402183533,0.5322370529174805,0.4598958194255829
Nuclear Engineers,17-2161.00,26.0,0.7102738618850708,0.39779797196388245,0.1147882416844368
Petroleum Engineers,17-2171.00,32.0,0.660433828830719,0.47917789220809937,0.28655099868774414
Biochemical Engineers,17-2199.01,54.0,0.7666339874267578,0.5792563557624817,0.5381247997283936
Validation Engineers,17-2199.02,23.0,0.964945912361145,0.5206957459449768,0.14461150765419006
Energy Engineers,17-2199.03,24.0,0.7343143820762634,0.8054457902908325,0.3438877463340759
Manufacturing Engineers,17-2199.04,40.0,0.5951497554779053,0.38282471895217896,0.10043969750404358
Mechatronics Engineers,17-2199.05,22.0,0.6319350004196167,0.6068991422653198,0.2659374475479126
Microsystems Engineers,17-2199.06,40.0,0.16651226580142975,0.29802072048187256,0.07533755898475647
Photonics Engineers,17-2199.07,18.0,0.9997259974479675,0.6504624485969543,0.3206072747707367
Robotics Engineers,17-2199.08,21.0,0.7061436176300049,0.9000014662742615,1.2460180521011353
Nanosystems Engineers,17-2199.09,28.0,0.9984666109085083,0.6484471559524536,0.269901305437088
Wind Energy Engineers,17-2199.10,21.0,0.6371924877166748,0.5718546509742737,0.17439958453178406
Solar Energy Systems Engineers,17-2199.11,13.0,0.39547765254974365,0.6308802366256714,0.2175595909357071
Architectural Drafters,17-3011.01,30.0,0.8233903646469116,0.4850159287452698,0.2760377526283264
Civil Drafters,17-3011.02,21.0,0.5245474576950073,0.35335463285446167,0.16459979116916656
Electronic Drafters,17-3012.01,31.0,0.5394134521484375,0.4647383689880371,0.3129609525203705
Electrical Drafters,17-3012.02,24.0,0.681708812713623,0.573490560054779,0.22243264317512512
Mechanical Drafters,17-3013.00,27.0,0.14011061191558838,0.20783022046089172,0.08031977713108063
Aerospace Engineering and Operations Technicians,17-3021.00,13.0,1.4121923446655273,1.3768794536590576,1.1207926273345947
Civil Engineering Technicians,17-3022.00,27.0,1.4572011232376099,0.6216797828674316,0.2185741364955902
Electronics Engineering Technicians,17-3023.01,30.0,0.448250949382782,0.7239388227462769,0.3692905604839325
Electrical Engineering Technicians,17-3023.03,33.0,0.37022581696510315,0.47068992257118225,0.7506177425384521
Electro-Mechanical Technicians,17-3024.00,16.0,0.7791410684585571,0.742968738079071,0.6343072652816772
Robotics Technicians,17-3024.01,23.0,0.06685224920511246,0.22432266175746918,0.7842658162117004
Environmental Engineering Technicians,17-3025.00,42.0,0.752851128578186,0.7356568574905396,0.20719186961650848
Industrial Engineering Technicians,17-3026.00,26.0,0.4425238370895386,0.5214577913284302,0.2746192514896393
Mechanical Engineering Technicians,17-3027.00,42.0,0.418160080909729,0.497583270072937,0.3325996398925781
Automotive Engineering Technicians,17-3027.01,22.0,0.8626405000686646,1.3075048923492432,0.5870154500007629
Non-Destructive Testing Specialists,17-3029.01,17.0,0.7042522430419922,0.5716661810874939,0.4880490005016327
Electrical Engineering Technologists,17-3029.02,16.0,0.4601704478263855,0.487139493227005,0.4751676321029663
Electromechanical Engineering Technologists,17-3029.03,13.0,0.3533807098865509,0.32131218910217285,0.39189213514328003
Electronics Engineering Technologists,17-3029.04,20.0,0.5617591142654419,0.663644015789032,1.1490732431411743
Industrial Engineering Technologists,17-3029.05,22.0,0.55124431848526,0.4250433146953583,0.1765458881855011
Manufacturing Engineering Technologists,17-3029.06,39.0,0.7332041263580322,0.4814804196357727,0.26233914494514465
Mechanical Engineering Technologists,17-3029.07,20.0,0.912755012512207,1.022241473197937,0.74129319190979
Photonics Technicians,17-3029.08,35.0,0.5217236280441284,1.0561310052871704,1.1350791454315186
Manufacturing Production Technicians,17-3029.09,31.0,0.32481712102890015,0.8088386058807373,1.3353605270385742
Nanotechnology Engineering Technologists,17-3029.11,17.0,0.8759021759033203,0.8588125705718994,0.5350610017776489
Nanotechnology Engineering Technicians,17-3029.12,23.0,0.4423893690109253,0.6314542889595032,0.6417118310928345
Surveying Technicians,17-3031.01,28.0,0.5357436537742615,1.2602607011795044,0.8249919414520264
Mapping Technicians,17-3031.02,54.0,0.4017091989517212,0.44899916648864746,0.1790352463722229
Animal Scientists,19-1011.00,14.0,0.38569578528404236,0.19524869322776794,0.12708836793899536
Food Scientists and Technologists,19-1012.00,18.0,0.22685915231704712,0.23111729323863983,0.13866589963436127
Soil and Plant Scientists,19-1013.00,40.0,0.533842921257019,0.33005475997924805,0.28730085492134094
Biologists,19-1020.01,28.0,0.8828051686286926,0.5636059045791626,0.17282997071743011
Biochemists and Biophysicists,19-1021.00,28.0,0.539603590965271,0.46476829051971436,0.25937432050704956
Microbiologists,19-1022.00,18.0,0.6977774500846863,0.5577653646469116,0.6792737245559692
Zoologists and Wildlife Biologists,19-1023.00,25.0,0.6126581430435181,0.508726179599762,0.28943705558776855
Bioinformatics Scientists,19-1029.01,22.0,0.6076574921607971,0.4617563784122467,0.174314484000206
Molecular and Cellular Biologists,19-1029.02,24.0,0.45819535851478577,0.4737475514411926,0.25282344222068787
Geneticists,19-1029.03,33.0,0.3881901204586029,0.2304748296737671,0.08391179889440536
Soil and Water Conservationists,19-1031.01,48.0,0.4258417785167694,0.3026540279388428,0.08021783083677292
Range Managers,19-1031.02,26.0,0.4653284549713135,0.6368290781974792,0.7479601502418518
Park Naturalists,19-1031.03,19.0,0.19977405667304993,0.2841031849384308,0.1874106526374817
Foresters,19-1032.00,31.0,0.9302420616149902,0.6955373883247375,0.37573614716529846
Epidemiologists,19-1041.00,21.0,0.9506822824478149,0.5231886506080627,0.15762341022491455
"Medical Scientists, Except Epidemiologists",19-1042.00,20.0,0.5353654026985168,0.328029990196228,0.18166592717170715
Astronomers,19-2011.00,15.0,0.9535216689109802,0.6658291816711426,0.4000625014305115
Physicists,19-2012.00,21.0,1.138465166091919,0.4804893136024475,0.3200555741786957
Atmospheric and Space Scientists,19-2021.00,27.0,0.9076143503189087,0.3873332738876343,0.11334672570228577
Chemists,19-2031.00,22.0,0.7567453980445862,0.45693930983543396,0.12659016251564026
Materials Scientists,19-2032.00,26.0,0.49510377645492554,0.36298254132270813,0.1330268830060959
"Environmental Scientists and Specialists, Including Health",19-2041.00,25.0,1.0945260524749756,0.6217037439346313,0.1564885973930359
Climate Change Analysts,19-2041.01,18.0,0.20304454863071442,0.13326700031757355,0.03176174685359001
Environmental Restoration Planners,19-2041.02,27.0,0.8063335418701172,0.4948808252811432,0.16574783623218536
Industrial Ecologists,19-2041.03,57.0,0.8175095915794373,0.48028764128685,0.1748022586107254
"Geoscientists, Except Hydrologists and Geographers",19-2042.00,24.0,0.5390151143074036,0.49095025658607483,0.34812191128730774
Hydrologists,19-2043.00,35.0,0.6562207341194153,0.40040123462677,0.11270304024219513
Remote Sensing Scientists and Technologists,19-2099.01,32.0,0.6799448728561401,0.5816506743431091,0.1698908805847168
Economists,19-3011.00,15.0,0.32584837079048157,0.1717168390750885,0.25453445315361023
Environmental Economists,19-3011.01,30.0,0.7262157201766968,0.3012758493423462,0.07696443051099777
Survey Researchers,19-3022.00,16.0,0.4559808075428009,0.5113880038261414,0.10052357614040375
School Psychologists,19-3031.01,28.0,0.6322277188301086,0.39089587330818176,0.15169110894203186
Clinical Psychologists,19-3031.02,34.0,0.8985685110092163,0.340842604637146,0.13613544404506683
Counseling Psychologists,19-3031.03,20.0,0.9047694802284241,0.3398860991001129,0.07809597998857498
Industrial-Organizational Psychologists,19-3032.00,29.0,0.47849828004837036,0.3052249848842621,0.07041046768426895
Neuropsychologists and Clinical Neuropsychologists,19-3039.01,16.0,0.19415611028671265,0.20553728938102722,0.066069096326828
Sociologists,19-3041.00,18.0,0.6539218425750732,0.5245164036750793,0.2768755555152893
Urban and Regional Planners,19-3051.00,25.0,0.5874449610710144,0.3015342652797699,0.08005178719758987
Anthropologists,19-3091.01,40.0,1.119828701019287,0.4867621660232544,0.1895114630460739
Archeologists,19-3091.02,23.0,0.30111104249954224,0.38047853112220764,0.26173949241638184
Geographers,19-3092.00,8.0,0.6716179847717285,0.7062024474143982,0.47935667634010315
Historians,19-3093.00,25.0,0.07612477988004684,0.19352400302886963,0.056926414370536804
Political Scientists,19-3094.00,13.0,1.4784901142120361,0.5447779297828674,0.3175652325153351
Transportation Planners,19-3099.01,27.0,0.26298555731773376,0.18569689989089966,0.029694171622395515
Agricultural Technicians,19-4011.01,33.0,0.4458681344985962,1.2582966089248657,0.42876774072647095
Food Science Technicians,19-4011.02,23.0,0.43134909868240356,0.1970263421535492,0.10264697670936584
Biological Technicians,19-4021.00,16.0,0.8789061903953552,0.5651617050170898,0.315876841545105
Chemical Technicians,19-4031.00,21.0,0.21651455760002136,0.4227771461009979,0.37112388014793396
Geophysical Data Technicians,19-4041.01,22.0,0.3761352002620697,1.1175702810287476,0.5371285676956177
Geological Sample Test Technicians,19-4041.02,13.0,1.1009862422943115,0.6451224684715271,0.3191916346549988
Nuclear Equipment Operation Technicians,19-4051.01,31.0,1.315571665763855,0.8248177170753479,0.47755318880081177
Nuclear Monitoring Technicians,19-4051.02,32.0,1.2386765480041504,0.7241734862327576,0.36033761501312256
Social Science Research Assistants,19-4061.00,20.0,0.5947410464286804,0.6251136660575867,0.23042555153369904
City and Regional Planning Aides,19-4061.01,14.0,0.11323857307434082,0.3319474160671234,0.14739124476909637
"Environmental Science and Protection Technicians, Including Health",19-4091.00,38.0,0.4648321270942688,0.8379307985305786,0.325522780418396
Forensic Science Technicians,19-4092.00,29.0,0.5009971857070923,0.3876957297325134,0.1627170890569687
Forest and Conservation Technicians,19-4093.00,27.0,0.2919970750808716,0.7942586541175842,0.44567030668258667
Quality Control Analysts,19-4099.01,25.0,0.3410918414592743,0.4060193598270416,0.18147800862789154
Precision Agriculture Technicians,19-4099.02,41.0,1.2746939659118652,0.7458475828170776,0.2482946217060089
Remote Sensing Technicians,19-4099.03,30.0,0.8620266318321228,0.5909395813941956,0.5180727243423462
Substance Abuse and Behavioral Disorder Counselors,21-1011.00,25.0,0.48686888813972473,0.3389921188354492,0.09966088831424713
"Educational, Guidance, School, and Vocational Counselors",21-1012.00,45.0,0.2540179491043091,0.19509771466255188,0.06757856905460358
Marriage and Family Therapists,21-1013.00,18.0,0.3319881856441498,0.21295903623104095,0.06864439696073532
Mental Health Counselors,21-1014.00,33.0,0.20784972608089447,0.27317240834236145,0.10652115941047668
Rehabilitation Counselors,21-1015.00,26.0,0.3474338948726654,0.264460027217865,0.09980127960443497
"Child, Family, and School Social Workers",21-1021.00,30.0,0.3945156931877136,0.2173156887292862,0.061983462423086166
Healthcare Social Workers,21-1022.00,19.0,0.7015565633773804,0.3302972912788391,0.16443823277950287
Mental Health and Substance Abuse Social Workers,21-1023.00,20.0,0.1890939325094223,0.2899990677833557,0.12207454442977905
Health Educators,21-1091.00,20.0,0.23407620191574097,0.22060443460941315,0.12610593438148499
Probation Officers and Correctional Treatment Specialists,21-1092.00,27.0,0.2009042203426361,0.16355569660663605,0.07388507574796677
Social and Human Service Assistants,21-1093.00,22.0,0.06551852822303772,0.07121662050485611,0.07360510528087616
Community Health Workers,21-1094.00,37.0,0.2673685848712921,0.19583618640899658,0.05673173442482948
Clergy,21-2011.00,20.0,0.07566919177770615,0.17802228033542633,0.02583896741271019
"Directors, Religious Activities and Education",21-2021.00,26.0,0.44108691811561584,0.229557067155838,0.0807679146528244
Lawyers,23-1011.00,39.0,0.29873380064964294,0.23116086423397064,0.04355674982070923
Judicial Law Clerks,23-1012.00,19.0,0.0094624487683177,0.12844453752040863,0.04337590932846069
