onet_name,onetsoccode,occ1990dd,occ1990dd_title,occ,acs,acs_title,_merge_acs,_merge_occdd
Remote Sensing Scientists and Technologists,19-2099.01,76.0,"Physical scientists, n.e.c.",1760,192099,"Physical Scientists, All Other",3,3
Market Research Analysts and Marketing Specialists,13-1161.00,166.0,"Economists, market and survey researchers",1800,193011,,3,3
Economists,19-3011.00,166.0,"Economists, market and survey researchers",1800,193011,Economists,3,3
Environmental Economists,19-3011.01,166.0,"Economists, market and survey researchers",1800,193011,Economists,3,3
Neuropsychologists and Clinical Neuropsychologists,19-3039.01,167.0,Psychologists,1820,193030,Psychologists,3,3
Industrial-Organizational Psychologists,19-3032.00,167.0,Psychologists,1820,193030,Psychologists,3,3
School Psychologists,19-3031.01,167.0,Psychologists,1820,193030,Psychologists,3,3
Clinical Psychologists,19-3031.02,167.0,Psychologists,1820,193030,Psychologists,3,3
Counseling Psychologists,19-3031.03,167.0,Psychologists,1820,193030,Psychologists,3,3
Urban and Regional Planners,19-3051.00,173.0,Urban and regional planners,1840,193051,Urban and Regional Planners,3,3
Anthropologists,19-3091.01,169.0,"Social scientists and sociologists, n.e.c.",1860,1930XX,"Miscellaneous Social Scientists, Including Survey Researchers and Sociologists",3,3
Geographers,19-3092.00,169.0,"Social scientists and sociologists, n.e.c.",1860,1930XX,"Miscellaneous Social Scientists, Including Survey Researchers and Sociologists",3,3
Historians,19-3093.00,169.0,"Social scientists and sociologists, n.e.c.",1860,1930XX,"Miscellaneous Social Scientists, Including Survey Researchers and Sociologists",3,3
Sociologists,19-3041.00,169.0,"Social scientists and sociologists, n.e.c.",1860,1930XX,"Miscellaneous Social Scientists, Including Survey Researchers and Sociologists",3,3
Archeologists,19-3091.02,169.0,"Social scientists and sociologists, n.e.c.",1860,1930XX,"Miscellaneous Social Scientists, Including Survey Researchers and Sociologists",3,3
Political Scientists,19-3094.00,169.0,"Social scientists and sociologists, n.e.c.",1860,1930XX,"Miscellaneous Social Scientists, Including Survey Researchers and Sociologists",3,3
Transportation Planners,19-3099.01,169.0,"Social scientists and sociologists, n.e.c.",1860,1930XX,"Miscellaneous Social Scientists, Including Survey Researchers and Sociologists",3,3
Agricultural Technicians,19-4011.01,223.0,Biological technicians,1900,194011,Agricultural and Food Science Technicians,3,3
Food Science Technicians,19-4011.02,223.0,Biological technicians,1900,194011,Agricultural and Food Science Technicians,3,3
Biological Technicians,19-4021.00,223.0,Biological technicians,1910,194021,Biological Technicians,3,3
Chemical Technicians,19-4031.00,224.0,Chemical technicians,1920,194031,Chemical Technicians,3,3
Nuclear Monitoring Technicians,19-4051.02,214.0,Engineering and science technicians,1930,1940XX,"Geological and Petroleum Technicians, and Nuclear Technicians",3,3
Geophysical Data Technicians,19-4041.01,214.0,Engineering and science technicians,1930,1940XX,"Geological and Petroleum Technicians, and Nuclear Technicians",3,3
Geological Sample Test Technicians,19-4041.02,214.0,Engineering and science technicians,1930,1940XX,"Geological and Petroleum Technicians, and Nuclear Technicians",3,3
Nuclear Equipment Operation Technicians,19-4051.01,214.0,Engineering and science technicians,1930,1940XX,"Geological and Petroleum Technicians, and Nuclear Technicians",3,3
Quality Control Analysts,19-4099.01,235.0,"Technicians, n.e.c.",1965,1940YY,,3,3
Social Science Research Assistants,19-4061.00,235.0,"Technicians, n.e.c.",1965,1940YY,,3,3
"Environmental Science and Protection Technicians, Including Health",19-4091.00,235.0,"Technicians, n.e.c.",1965,1940YY,,3,3
Remote Sensing Technicians,19-4099.03,235.0,"Technicians, n.e.c.",1965,1940YY,,3,3
Forest and Conservation Technicians,19-4093.00,235.0,"Technicians, n.e.c.",1965,1940YY,,3,3
City and Regional Planning Aides,19-4061.01,235.0,"Technicians, n.e.c.",1965,1940YY,,3,3
Precision Agriculture Technicians,19-4099.02,235.0,"Technicians, n.e.c.",1965,1940YY,,3,3
Forensic Science Technicians,19-4092.00,235.0,"Technicians, n.e.c.",1965,1940YY,,3,3
Marriage and Family Therapists,21-1013.00,163.0,Vocational and educational counselors,2000,211010,Counselors,3,3
Rehabilitation Counselors,21-1015.00,163.0,Vocational and educational counselors,2000,211010,Counselors,3,3
Mental Health Counselors,21-1014.00,163.0,Vocational and educational counselors,2000,211010,Counselors,3,3
"Educational, Guidance, School, and Vocational Counselors",21-1012.00,163.0,Vocational and educational counselors,2000,211010,Counselors,3,3
Substance Abuse and Behavioral Disorder Counselors,21-1011.00,163.0,Vocational and educational counselors,2000,211010,Counselors,3,3
Healthcare Social Workers,21-1022.00,174.0,Social workers,2010,211020,Social Workers,3,3
Mental Health and Substance Abuse Social Workers,21-1023.00,174.0,Social workers,2010,211020,Social Workers,3,3
"Child, Family, and School Social Workers",21-1021.00,174.0,Social workers,2010,211020,Social Workers,3,3
Probation Officers and Correctional Treatment Specialists,21-1092.00,177.0,Welfare service workers,2015,211092,Probation Officers and Correctional Treatment Specialists,3,3
Social and Human Service Assistants,21-1093.00,177.0,Welfare service workers,2016,211093,Social and Human Service Assistants,3,3
Health Educators,21-1091.00,177.0,Welfare service workers,2025,21109X,,3,3
Community Health Workers,21-1094.00,177.0,Welfare service workers,2025,21109X,,3,3
Clergy,21-2011.00,176.0,Clergy,2040,212011,Clergy,3,3
"Directors, Religious Activities and Education",21-2021.00,175.0,"Religious workers, n.e.c.",2050,212021,"Directors, Religious Activities and Education",3,3
"Judges, Magistrate Judges, and Magistrates",23-1023.00,178.0,Lawyers and judges,2100,2310XX,"Lawyers, and judges, magistrates, and other judicial workers",3,3
"Arbitrators, Mediators, and Conciliators",23-1022.00,178.0,Lawyers and judges,2100,2310XX,"Lawyers, and judges, magistrates, and other judicial workers",3,3
"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021.00,178.0,Lawyers and judges,2100,2310XX,"Lawyers, and judges, magistrates, and other judicial workers",3,3
Lawyers,23-1011.00,178.0,Lawyers and judges,2100,2310XX,"Lawyers, and judges, magistrates, and other judicial workers",3,3
Judicial Law Clerks,23-1012.00,178.0,Lawyers and judges,2105,231012,Judicial Law Clerks,3,3
Paralegals and Legal Assistants,23-2011.00,234.0,Legal assistants and paralegals,2145,232011,Paralegals and Legal Assistants,3,3
"Title Examiners, Abstractors, and Searchers",23-2093.00,234.0,Legal assistants and paralegals,2160,232090,Miscellaneous Legal Support Workers,3,3
Court Reporters,23-2091.00,234.0,Legal assistants and paralegals,2160,232090,Miscellaneous Legal Support Workers,3,3
"Library Science Teachers, Postsecondary",25-1082.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Mathematical Science Teachers, Postsecondary",25-1022.00,154.0,"Subject instructors, college",2200,251000,,3,3
"English Language and Literature Teachers, Postsecondary",25-1123.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Recreation and Fitness Studies Teachers, Postsecondary",25-1193.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Home Economics Teachers, Postsecondary",25-1192.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Physics Teachers, Postsecondary",25-1054.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Geography Teachers, Postsecondary",25-1064.00,154.0,"Subject instructors, college",2200,251000,,3,3
"History Teachers, Postsecondary",25-1125.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Health Specialties Teachers, Postsecondary",25-1071.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Environmental Science Teachers, Postsecondary",25-1053.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Business Teachers, Postsecondary",25-1011.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Foreign Language and Literature Teachers, Postsecondary",25-1124.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Engineering Teachers, Postsecondary",25-1032.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Education Teachers, Postsecondary",25-1081.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Agricultural Sciences Teachers, Postsecondary",25-1041.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Philosophy and Religion Teachers, Postsecondary",25-1126.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Biological Science Teachers, Postsecondary",25-1042.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Chemistry Teachers, Postsecondary",25-1052.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Psychology Teachers, Postsecondary",25-1066.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Law Teachers, Postsecondary",25-1112.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Vocational Education Teachers, Postsecondary",25-1194.00,154.0,"Subject instructors, college",2200,251000,,3,3
Graduate Teaching Assistants,25-1191.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Sociology Teachers, Postsecondary",25-1067.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Economics Teachers, Postsecondary",25-1063.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Communications Teachers, Postsecondary",25-1122.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Computer Science Teachers, Postsecondary",25-1021.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Nursing Instructors and Teachers, Postsecondary",25-1072.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Political Science Teachers, Postsecondary",25-1065.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Architecture Teachers, Postsecondary",25-1031.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Social Work Teachers, Postsecondary",25-1113.00,154.0,"Subject instructors, college",2200,251000,,3,3
"Preschool Teachers, Except Special Education",25-2011.00,155.0,Kindergarten and earlier school teachers,2300,252010,Preschool and Kindergarten Teachers,3,3
"Kindergarten Teachers, Except Special Education",25-2012.00,155.0,Kindergarten and earlier school teachers,2300,252010,Preschool and Kindergarten Teachers,3,3
"Career/Technical Education Teachers, Middle School",25-2023.00,156.0,Primary school teachers,2310,252020,Elementary and Middle School Teachers,3,3
"Middle School Teachers, Except Special and Career/Technical Education",25-2022.00,156.0,Primary school teachers,2310,252020,Elementary and Middle School Teachers,3,3
"Elementary School Teachers, Except Special Education",25-2021.00,156.0,Primary school teachers,2310,252020,Elementary and Middle School Teachers,3,3
"Career/Technical Education Teachers, Secondary School",25-2032.00,157.0,Secondary school teachers,2320,252030,Secondary School Teachers,3,3
"Secondary School Teachers, Except Special and Career/Technical Education",25-2031.00,157.0,Secondary school teachers,2320,252030,Secondary School Teachers,3,3
Adapted Physical Education Specialists,25-2059.01,158.0,Special education teachers,2330,252050,Special Education Teachers,3,3
"Special Education Teachers, Secondary School",25-2054.00,158.0,Special education teachers,2330,252050,Special Education Teachers,3,3
"Special Education Teachers, Middle School",25-2053.00,158.0,Special education teachers,2330,252050,Special Education Teachers,3,3
"Special Education Teachers, Kindergarten and Elementary School",25-2052.00,158.0,Special education teachers,2330,252050,Special Education Teachers,3,3
Self-Enrichment Education Teachers,25-3021.00,159.0,"Teachers, n.e.c.",2340,253000,,3,3
Adult Basic and Secondary Education and Literacy Teachers and Instructors,25-3011.00,159.0,"Teachers, n.e.c.",2340,253000,,3,3
Tutors,25-3099.02,159.0,"Teachers, n.e.c.",2340,253000,,3,3
Curators,25-4012.00,165.0,Archivists and curators,2400,254010,"Archivists, Curators, and Museum Technicians",3,3
Museum Technicians and Conservators,25-4013.00,165.0,Archivists and curators,2400,254010,"Archivists, Curators, and Museum Technicians",3,3
Archivists,25-4011.00,165.0,Archivists and curators,2400,254010,"Archivists, Curators, and Museum Technicians",3,3
Librarians,25-4021.00,164.0,Librarians,2430,254021,Librarians,3,3
Library Technicians,25-4031.00,329.0,Libraryassistants,2440,254031,Library Technicians,3,3
Teacher Assistants,25-9041.00,387.0,Teacher's aides,2540,259041,Teacher Assistants,3,3
Instructional Designers and Technologists,25-9031.01,159.0,"Teachers, n.e.c.",2550,2590XX,,3,3
Farm and Home Management Advisors,25-9021.00,159.0,"Teachers, n.e.c.",2550,2590XX,,3,3
Instructional Coordinators,25-9031.00,159.0,"Teachers, n.e.c.",2550,2590XX,,3,3
Audio-Visual and Multimedia Collections Specialists,25-9011.00,159.0,"Teachers, n.e.c.",2550,2590XX,,3,3
Multimedia Artists and Animators,27-1014.00,188.0,"Painters, sculptors, craft-artists, and print-makers",2600,271010,Artists and Related Workers,3,3
Craft Artists,27-1012.00,188.0,"Painters, sculptors, craft-artists, and print-makers",2600,271010,Artists and Related Workers,3,3
"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013.00,188.0,"Painters, sculptors, craft-artists, and print-makers",2600,271010,Artists and Related Workers,3,3
Art Directors,27-1011.00,188.0,"Painters, sculptors, craft-artists, and print-makers",2600,271010,Artists and Related Workers,3,3
Floral Designers,27-1023.00,185.0,Designers,2630,271020,Designers,3,3
Fashion Designers,27-1022.00,185.0,Designers,2630,271020,Designers,3,3
Interior Designers,27-1025.00,185.0,Designers,2630,271020,Designers,3,3
Commercial and Industrial Designers,27-1021.00,185.0,Designers,2630,271020,Designers,3,3
Set and Exhibit Designers,27-1027.00,185.0,Designers,2630,271020,Designers,3,3
Merchandise Displayers and Window Trimmers,27-1026.00,185.0,Designers,2630,271020,Designers,3,3
Graphic Designers,27-1024.00,185.0,Designers,2630,271020,Designers,3,3
Actors,27-2011.00,187.0,"Actors, directors, and producers",2700,272011,Actors,3,3
Talent Directors,27-2012.04,187.0,"Actors, directors, and producers",2710,272012,Producers and Directors,3,3
Program Directors,27-2012.03,187.0,"Actors, directors, and producers",2710,272012,Producers and Directors,3,3
"Directors- Stage, Motion Pictures, Television, and Radio",27-2012.02,187.0,"Actors, directors, and producers",2710,272012,Producers and Directors,3,3
Technical Directors/Managers,27-2012.05,187.0,"Actors, directors, and producers",2710,272012,Producers and Directors,3,3
Producers,27-2012.01,187.0,"Actors, directors, and producers",2710,272012,Producers and Directors,3,3
Coaches and Scouts,27-2022.00,199.0,"Athletes, sports instructors, and officials",2720,272020,"Athletes, Coaches, Umpires, and Related Workers",3,3
"Umpires, Referees, and Other Sports Officials",27-2023.00,199.0,"Athletes, sports instructors, and officials",2720,272020,"Athletes, Coaches, Umpires, and Related Workers",3,3
Athletes and Sports Competitors,27-2021.00,199.0,"Athletes, sports instructors, and officials",2720,272020,"Athletes, Coaches, Umpires, and Related Workers",3,3
Dancers,27-2031.00,193.0,Dancers,2740,272030,Dancers and Choreographers,3,3
Choreographers,27-2032.00,193.0,Dancers,2740,272030,Dancers and Choreographers,3,3
Music Directors,27-2041.01,186.0,Musicians and composers,2750,272040,"Musicians, Singers, and Related Workers",3,3
"Musicians, Instrumental",27-2042.02,186.0,Musicians and composers,2750,272040,"Musicians, Singers, and Related Workers",3,3
Singers,27-2042.01,186.0,Musicians and composers,2750,272040,"Musicians, Singers, and Related Workers",3,3
Music Composers and Arrangers,27-2041.04,186.0,Musicians and composers,2750,272040,"Musicians, Singers, and Related Workers",3,3
Public Address System and Other Announcers,27-3012.00,198.0,Announcers,2800,273010,Announcers,3,3
Radio and Television Announcers,27-3011.00,198.0,Announcers,2800,273010,Announcers,3,3
Reporters and Correspondents,27-3022.00,195.0,Editors and reporters,2810,273020,"News Analysts, Reporters and Correspondents",3,3
Broadcast News Analysts,27-3021.00,195.0,Editors and reporters,2810,273020,"News Analysts, Reporters and Correspondents",3,3
Public Relations Specialists,27-3031.00,197.0,"Specialists in marketing, advert., PR",2825,273031,Public Relations Specialists,3,3
Editors,27-3041.00,195.0,Editors and reporters,2830,273041,Editors,3,3
Technical Writers,27-3042.00,184.0,Technical writers,2840,273042,Technical Writers,3,3
Copy Writers,27-3043.04,183.0,Writersandauthors,2850,273043,Writers and Authors,3,3
"Poets, Lyricists and Creative Writers",27-3043.05,183.0,Writersandauthors,2850,273043,Writers and Authors,3,3
Interpreters and Translators,27-3091.00,194.0,Art/entertainment performers and related occs,2860,273090,Miscellaneous Media and Communication Workers,3,3
Audio and Video Equipment Technicians,27-4011.00,228.0,Broadcast equipment operators,2900,2740XX,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",3,3
Radio Operators,27-4013.00,228.0,Broadcast equipment operators,2900,2740XX,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",3,3
Broadcast Technicians,27-4012.00,228.0,Broadcast equipment operators,2900,2740XX,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",3,3
Sound Engineering Technicians,27-4014.00,228.0,Broadcast equipment operators,2900,2740XX,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",3,3
Photographers,27-4021.00,189.0,Photographers,2910,274021,Photographers,3,3
Film and Video Editors,27-4032.00,189.0,Photographers,2920,274030,"Television, Video, and Motion Picture Camera Operators and Editors",3,3
"Camera Operators, Television, Video, and Motion Picture",27-4031.00,189.0,Photographers,2920,274030,"Television, Video, and Motion Picture Camera Operators and Editors",3,3
Chiropractors,29-1011.00,89.0,Other health and therapy occupations,3000,291011,Chiropractors,3,3
Oral and Maxillofacial Surgeons,29-1022.00,85.0,Dentists,3010,291020,Dentists,3,3
Prosthodontists,29-1024.00,85.0,Dentists,3010,291020,Dentists,3,3
"Dentists, General",29-1021.00,85.0,Dentists,3010,291020,Dentists,3,3
Orthodontists,29-1023.00,85.0,Dentists,3010,291020,Dentists,3,3
Dietitians and Nutritionists,29-1031.00,97.0,Dieticians and nutritionists,3030,291031,Dieticians and Nutritionists,3,3
Optometrists,29-1041.00,87.0,Optometrists,3040,291041,Optometrists,3,3
Pharmacists,29-1051.00,96.0,Pharmacists,3050,291051,Pharmacists,3,3
Ophthalmologists,29-1069.06,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Preventive Medicine Physicians,29-1069.09,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
"Internists, General",29-1063.00,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Family and General Practitioners,29-1062.00,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Sports Medicine Physicians,29-1069.11,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Neurologists,29-1069.04,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Psychiatrists,29-1066.00,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Obstetricians and Gynecologists,29-1064.00,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
"Pediatricians, General",29-1065.00,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Hospitalists,29-1069.03,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Pathologists,29-1069.07,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Urologists,29-1069.12,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Anesthesiologists,29-1061.00,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Surgeons,29-1067.00,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Allergists and Immunologists,29-1069.01,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Physical Medicine and Rehabilitation Physicians,29-1069.08,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Dermatologists,29-1069.02,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Nuclear Medicine Physicians,29-1069.05,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Radiologists,29-1069.10,84.0,Physicians,3060,291060,Physicians and Surgeons,3,3
Physician Assistants,29-1071.00,106.0,Physicians' assistants,3110,291071,Physician Assistants,3,3
Anesthesiologist Assistants,29-1071.01,106.0,Physicians' assistants,3110,291071,Physician Assistants,3,3
Podiatrists,29-1081.00,88.0,Podiatrists,3120,291081,Podiatrists,3,3
Audiologists,29-1181.00,104.0,Speech therapists,3140,291181,Audiologists,3,3
Occupational Therapists,29-1122.00,99.0,Occupational therapists,3150,291122,Occupational Therapists,3,3
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1122.01,99.0,Occupational therapists,3150,291122,Occupational Therapists,3,3
Physical Therapists,29-1123.00,103.0,Physical therapists,3160,291123,Physical Therapists,3,3
Radiation Therapists,29-1124.00,105.0,"Therapists, n.e.c.",3200,291124,Radiation Therapists,3,3
Recreational Therapists,29-1125.00,105.0,"Therapists, n.e.c.",3210,291125,Recreational Therapists,3,3
Art Therapists,29-1125.01,105.0,"Therapists, n.e.c.",3210,291125,Recreational Therapists,3,3
Music Therapists,29-1125.02,105.0,"Therapists, n.e.c.",3210,291125,Recreational Therapists,3,3
Respiratory Therapists,29-1126.00,98.0,Respiratory therapists,3220,291126,Respiratory Therapists,3,3
Speech-Language Pathologists,29-1127.00,104.0,Speech therapists,3230,291127,SpeechLanguage Pathologists,3,3
Veterinarians,29-1131.00,86.0,Veterinarians,3250,291131,Veterinarians,3,3
Advanced Practice Psychiatric Nurses,29-1141.02,95.0,Registered nurses,3255,291141,Registered Nurses,3,3
Registered Nurses,29-1141.00,95.0,Registered nurses,3255,291141,Registered Nurses,3,3
Critical Care Nurses,29-1141.03,95.0,Registered nurses,3255,291141,Registered Nurses,3,3
Clinical Nurse Specialists,29-1141.04,95.0,Registered nurses,3255,291141,Registered Nurses,3,3
Acute Care Nurses,29-1141.01,95.0,Registered nurses,3255,291141,Registered Nurses,3,3
Nurse Anesthetists,29-1151.00,95.0,Registered nurses,3256,291151,Nurse Anesthetists,3,3
Nurse Midwives,29-1161.00,95.0,Registered nurses,3258,2911XX,,3,3
Nurse Practitioners,29-1171.00,95.0,Registered nurses,3258,2911XX,,3,3
Exercise Physiologists,29-1128.00,95.0,Registered nurses,3258,2911XX,,3,3
Naturopathic Physicians,29-1199.04,89.0,Other health and therapy occupations,3260,291199,"Health Diagnosing and Treating Practitioners, All Other",3,3
Acupuncturists,29-1199.01,89.0,Other health and therapy occupations,3260,291199,"Health Diagnosing and Treating Practitioners, All Other",3,3
Orthoptists,29-1199.05,89.0,Other health and therapy occupations,3260,291199,"Health Diagnosing and Treating Practitioners, All Other",3,3
Histotechnologists and Histologic Technicians,29-2011.03,203.0,Clinical laboratory technologies and technicians,3300,292010,Clinical Laboratory Technologists and Technicians,3,3
Cytotechnologists,29-2011.02,203.0,Clinical laboratory technologies and technicians,3300,292010,Clinical Laboratory Technologists and Technicians,3,3
Medical and Clinical Laboratory Technicians,29-2012.00,203.0,Clinical laboratory technologies and technicians,3300,292010,Clinical Laboratory Technologists and Technicians,3,3
Cytogenetic Technologists,29-2011.01,203.0,Clinical laboratory technologies and technicians,3300,292010,Clinical Laboratory Technologists and Technicians,3,3
Medical and Clinical Laboratory Technologists,29-2011.00,203.0,Clinical laboratory technologies and technicians,3300,292010,Clinical Laboratory Technologists and Technicians,3,3
Dental Hygienists,29-2021.00,204.0,Dental hygienists,3310,292021,Dental Hygienists,3,3
Nuclear Medicine Technologists,29-2033.00,206.0,Radiologic technologists and technicians,3320,292030,Diagnostic Related Technologists and Technicians,3,3
Diagnostic Medical Sonographers,29-2032.00,206.0,Radiologic technologists and technicians,3320,292030,Diagnostic Related Technologists and Technicians,3,3
Radiologic Technologists,29-2034.00,206.0,Radiologic technologists and technicians,3320,292030,Diagnostic Related Technologists and Technicians,3,3
Cardiovascular Technologists and Technicians,29-2031.00,206.0,Radiologic technologists and technicians,3320,292030,Diagnostic Related Technologists and Technicians,3,3
Magnetic Resonance Imaging Technologists,29-2035.00,206.0,Radiologic technologists and technicians,3320,292030,Diagnostic Related Technologists and Technicians,3,3
Emergency Medical Technicians and Paramedics,29-2041.00,208.0,"Health technologists and technicians, n.e.c.",3400,292041,Emergency Medical Technicians and Paramedics,3,3
Ophthalmic Medical Technicians,29-2057.00,208.0,"Health technologists and technicians, n.e.c.",3420,292050,Health Practitioner Support Technologists and Technicians,3,3
Respiratory Therapy Technicians,29-2054.00,208.0,"Health technologists and technicians, n.e.c.",3420,292050,Health Practitioner Support Technologists and Technicians,3,3
Pharmacy Technicians,29-2052.00,208.0,"Health technologists and technicians, n.e.c.",3420,292050,Health Practitioner Support Technologists and Technicians,3,3
Veterinary Technologists and Technicians,29-2056.00,208.0,"Health technologists and technicians, n.e.c.",3420,292050,Health Practitioner Support Technologists and Technicians,3,3
Psychiatric Technicians,29-2053.00,208.0,"Health technologists and technicians, n.e.c.",3420,292050,Health Practitioner Support Technologists and Technicians,3,3
Dietetic Technicians,29-2051.00,208.0,"Health technologists and technicians, n.e.c.",3420,292050,Health Practitioner Support Technologists and Technicians,3,3
Surgical Technologists,29-2055.00,208.0,"Health technologists and technicians, n.e.c.",3420,292050,Health Practitioner Support Technologists and Technicians,3,3
Licensed Practical and Licensed Vocational Nurses,29-2061.00,207.0,Licensed practical nurses,3500,292061,Licensed Practical and Licensed Vocational Nurses,3,3
Medical Records and Health Information Technicians,29-2071.00,205.0,Health record technologists and technicians,3510,292071,Medical Records and Health Information Technicians,3,3
"Opticians, Dispensing",29-2081.00,677.0,Optical goods workers,3520,292081,"Opticians, Dispensing",3,3
Ophthalmic Medical Technologists,29-2099.05,208.0,"Health technologists and technicians, n.e.c.",3535,292090,Miscellaneous Health Technologists and Technicians,3,3
Radiologic Technicians,29-2099.06,208.0,"Health technologists and technicians, n.e.c.",3535,292090,Miscellaneous Health Technologists and Technicians,3,3
Neurodiagnostic Technologists,29-2099.01,208.0,"Health technologists and technicians, n.e.c.",3535,292090,Miscellaneous Health Technologists and Technicians,3,3
Orthotists and Prosthetists,29-2091.00,208.0,"Health technologists and technicians, n.e.c.",3535,292090,Miscellaneous Health Technologists and Technicians,3,3
Hearing Aid Specialists,29-2092.00,208.0,"Health technologists and technicians, n.e.c.",3535,292090,Miscellaneous Health Technologists and Technicians,3,3
Surgical Assistants,29-2099.07,208.0,"Health technologists and technicians, n.e.c.",3535,292090,Miscellaneous Health Technologists and Technicians,3,3
Genetic Counselors,29-9092.00,208.0,"Health technologists and technicians, n.e.c.",3540,299000,,3,3
Athletic Trainers,29-9091.00,208.0,"Health technologists and technicians, n.e.c.",3540,299000,,3,3
Occupational Health and Safety Specialists,29-9011.00,208.0,"Health technologists and technicians, n.e.c.",3540,299000,,3,3
Midwives,29-9099.01,208.0,"Health technologists and technicians, n.e.c.",3540,299000,,3,3
Occupational Health and Safety Technicians,29-9012.00,208.0,"Health technologists and technicians, n.e.c.",3540,299000,,3,3
Psychiatric Aides,31-1013.00,447.0,Health and nursing aides,3600,311010,"Nursing, Psychiatric, and Home Health Aides",3,3
Orderlies,31-1015.00,447.0,Health and nursing aides,3600,311010,"Nursing, Psychiatric, and Home Health Aides",3,3
Home Health Aides,31-1011.00,447.0,Health and nursing aides,3600,311010,"Nursing, Psychiatric, and Home Health Aides",3,3
Nursing Assistants,31-1014.00,447.0,Health and nursing aides,3600,311010,"Nursing, Psychiatric, and Home Health Aides",3,3
Occupational Therapy Aides,31-2012.00,447.0,Health and nursing aides,3610,312010,Occupational Therapy Assistants and Aides,3,3
Occupational Therapy Assistants,31-2011.00,447.0,Health and nursing aides,3610,312010,Occupational Therapy Assistants and Aides,3,3
Physical Therapist Aides,31-2022.00,447.0,Health and nursing aides,3620,312020,Physical Therapist Assistants and Aides,3,3
Physical Therapist Assistants,31-2021.00,447.0,Health and nursing aides,3620,312020,Physical Therapist Assistants and Aides,3,3
Massage Therapists,31-9011.00,469.0,"Personal service occupations, n.e.c",3630,319011,Massage Therapists,3,3
