ability_id,anchor_type,note
9,high,"A task that requires extensive use of 'Inductive Reasoning' — e.g., the ability to combine pieces of information to form general rules or conclusions (including finding relationships among seemingly unrelated events). in a demanding, real-world setting."
9,low,"A task with minimal or no need for 'Inductive Reasoning' — e.g., unrelated to the ability to combine pieces of information to form general rules or conclusions (including finding relationships among seemingly unrelated events).."
10,high,"A task that requires extensive use of 'Information Ordering' — e.g., the ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., numbers, letters, words, pictures). in a demanding, real-world setting."
10,low,"A task with minimal or no need for 'Information Ordering' — e.g., unrelated to the ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., numbers, letters, words, pictures).."
11,high,"A task that requires extensive use of 'Category Flexibility' — e.g., the ability to generate or use different sets of rules for combining or grouping things in different ways. in a demanding, real-world setting."
11,low,"A task with minimal or no need for 'Category Flexibility' — e.g., unrelated to the ability to generate or use different sets of rules for combining or grouping things in different ways.."
12,high,"A task that requires extensive use of 'Mathematical Reasoning' — e.g., the ability to choose the right mathematical methods or formulas to solve a problem. in a demanding, real-world setting."
12,low,"A task with minimal or no need for 'Mathematical Reasoning' — e.g., unrelated to the ability to choose the right mathematical methods or formulas to solve a problem.."
13,high,"A task that requires extensive use of 'Number Facility' — e.g., the ability to add, subtract, multiply, or divide quickly and correctly. in a demanding, real-world setting."
13,low,"A task with minimal or no need for 'Number Facility' — e.g., unrelated to the ability to add, subtract, multiply, or divide quickly and correctly.."
14,high,"A task that requires extensive use of 'Memorization' — e.g., the ability to remember information such as words, numbers, pictures, and procedures. in a demanding, real-world setting."
14,low,"A task with minimal or no need for 'Memorization' — e.g., unrelated to the ability to remember information such as words, numbers, pictures, and procedures.."
15,high,"A task that requires extensive use of 'Speed of Closure' — e.g., the ability to quickly make sense of, combine, and organize information into meaningful patterns. in a demanding, real-world setting."
15,low,"A task with minimal or no need for 'Speed of Closure' — e.g., unrelated to the ability to quickly make sense of, combine, and organize information into meaningful patterns.."
16,high,"A task that requires extensive use of 'Flexibility of Closure' — e.g., the ability to identify or detect a known pattern that is hidden in other distracting material. in a demanding, real-world setting."
16,low,"A task with minimal or no need for 'Flexibility of Closure' — e.g., unrelated to the ability to identify or detect a known pattern that is hidden in other distracting material.."
17,high,"A task that requires extensive use of 'Perceptual Speed' — e.g., the ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. in a demanding, real-world setting."
17,low,"A task with minimal or no need for 'Perceptual Speed' — e.g., unrelated to the ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns.."
18,high,"A task that requires extensive use of 'Spatial Orientation' — e.g., the ability to know your location in relation to the environment or where other objects are in relation to you. in a demanding, real-world setting."
18,low,"A task with minimal or no need for 'Spatial Orientation' — e.g., unrelated to the ability to know your location in relation to the environment or where other objects are in relation to you.."
19,high,"A task that requires extensive use of 'Visualization' — e.g., the ability to imagine how something will look after it is moved or when its parts are rearranged. in a demanding, real-world setting."
19,low,"A task with minimal or no need for 'Visualization' — e.g., unrelated to the ability to imagine how something will look after it is moved or when its parts are rearranged.."
20,high,"A task that requires extensive use of 'Selective Attention' — e.g., the ability to concentrate on a task over a period of time without being distracted. in a demanding, real-world setting."
20,low,"A task with minimal or no need for 'Selective Attention' — e.g., unrelated to the ability to concentrate on a task over a period of time without being distracted.."
21,high,"A task that requires extensive use of 'Time Sharing' — e.g., the ability to shift back and forth between two or more activities or sources of information. in a demanding, real-world setting."
21,low,"A task with minimal or no need for 'Time Sharing' — e.g., unrelated to the ability to shift back and forth between two or more activities or sources of information.."
22,high,"A task that requires extensive use of 'Arm-Hand Steadiness' — e.g., the ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position. in a demanding, real-world setting."
22,low,"A task with minimal or no need for 'Arm-Hand Steadiness' — e.g., unrelated to the ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.."
23,high,"A task that requires extensive use of 'Manual Dexterity' — e.g., the ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects. in a demanding, real-world setting."
23,low,"A task with minimal or no need for 'Manual Dexterity' — e.g., unrelated to the ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects.."
24,high,"A task that requires extensive use of 'Finger Dexterity' — e.g., the ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects. in a demanding, real-world setting."
24,low,"A task with minimal or no need for 'Finger Dexterity' — e.g., unrelated to the ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects.."
25,high,"A task that requires extensive use of 'Control Precision' — e.g., the ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions. in a demanding, real-world setting."
25,low,"A task with minimal or no need for 'Control Precision' — e.g., unrelated to the ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.."
26,high,"A task that requires extensive use of 'Multilimb Coordination' — e.g., the ability to coordinate two or more limbs while sitting, standing, or lying down (not while the whole body is in motion). in a demanding, real-world setting."
26,low,"A task with minimal or no need for 'Multilimb Coordination' — e.g., unrelated to the ability to coordinate two or more limbs while sitting, standing, or lying down (not while the whole body is in motion).."
27,high,"A task that requires extensive use of 'Response Orientation' — e.g., the ability to choose quickly between two or more movements in response to two or more different signals; includes the speed of starting the correct response. in a demanding, real-world setting."
27,low,"A task with minimal or no need for 'Response Orientation' — e.g., unrelated to the ability to choose quickly between two or more movements in response to two or more different signals; includes the speed of starting the correct response.."
28,high,"A task that requires extensive use of 'Rate Control' — e.g., the ability to time your movements or the movement of equipment in anticipation of changes in speed and/or direction of a moving object or scene. in a demanding, real-world setting."
28,low,"A task with minimal or no need for 'Rate Control' — e.g., unrelated to the ability to time your movements or the movement of equipment in anticipation of changes in speed and/or direction of a moving object or scene.."
29,high,"A task that requires extensive use of 'Reaction Time' — e.g., the ability to quickly respond with the hand, finger, or foot to a signal (sound, light, picture) when it appears. in a demanding, real-world setting."
29,low,"A task with minimal or no need for 'Reaction Time' — e.g., unrelated to the ability to quickly respond with the hand, finger, or foot to a signal (sound, light, picture) when it appears.."
30,high,"A task that requires extensive use of 'Wrist-Finger Speed' — e.g., the ability to make fast, simple, repeated movements of the fingers, hands, and wrists. in a demanding, real-world setting."
30,low,"A task with minimal or no need for 'Wrist-Finger Speed' — e.g., unrelated to the ability to make fast, simple, repeated movements of the fingers, hands, and wrists.."
31,high,"A task that requires extensive use of 'Speed of Limb Movement' — e.g., the ability to quickly move the arms and legs. in a demanding, real-world setting."
31,low,"A task with minimal or no need for 'Speed of Limb Movement' — e.g., unrelated to the ability to quickly move the arms and legs.."
32,high,"A task that requires extensive use of 'Static Strength' — e.g., the ability to exert maximum muscle force to lift, push, pull, or carry objects. in a demanding, real-world setting."
32,low,"A task with minimal or no need for 'Static Strength' — e.g., unrelated to the ability to exert maximum muscle force to lift, push, pull, or carry objects.."
33,high,"A task that requires extensive use of 'Dynamic Strength' — e.g., the ability to exert muscle force repeatedly or continuously over time; muscular endurance and resistance to fatigue. in a demanding, real-world setting."
33,low,"A task with minimal or no need for 'Dynamic Strength' — e.g., unrelated to the ability to exert muscle force repeatedly or continuously over time; muscular endurance and resistance to fatigue.."
34,high,"A task that requires extensive use of 'Explosive Strength' — e.g., the ability to use short bursts of muscle force to propel oneself (e.g., jumping or sprinting) or to throw an object. in a demanding, real-world setting."
34,low,"A task with minimal or no need for 'Explosive Strength' — e.g., unrelated to the ability to use short bursts of muscle force to propel oneself (e.g., jumping or sprinting) or to throw an object.."
35,high,"A task that requires extensive use of 'Trunk Strength' — e.g., the ability to use abdominal and lower back muscles to support part of the body repeatedly or continuously without fatiguing. in a demanding, real-world setting."
35,low,"A task with minimal or no need for 'Trunk Strength' — e.g., unrelated to the ability to use abdominal and lower back muscles to support part of the body repeatedly or continuously without fatiguing.."
36,high,"A task that requires extensive use of 'Stamina' — e.g., the ability to exert yourself physically over long periods without getting winded or out of breath. in a demanding, real-world setting."
36,low,"A task with minimal or no need for 'Stamina' — e.g., unrelated to the ability to exert yourself physically over long periods without getting winded or out of breath.."
37,high,"A task that requires extensive use of 'Extent Flexibility' — e.g., the ability to bend, stretch, twist, or reach with your body, arms, and/or legs. in a demanding, real-world setting."
37,low,"A task with minimal or no need for 'Extent Flexibility' — e.g., unrelated to the ability to bend, stretch, twist, or reach with your body, arms, and/or legs.."
38,high,"A task that requires extensive use of 'Dynamic Flexibility' — e.g., the ability to quickly and repeatedly bend, stretch, twist, or reach with your body, arms, and/or legs. in a demanding, real-world setting."
38,low,"A task with minimal or no need for 'Dynamic Flexibility' — e.g., unrelated to the ability to quickly and repeatedly bend, stretch, twist, or reach with your body, arms, and/or legs.."
39,high,"A task that requires extensive use of 'Gross Body Coordination' — e.g., the ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion. in a demanding, real-world setting."
39,low,"A task with minimal or no need for 'Gross Body Coordination' — e.g., unrelated to the ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion.."
40,high,"A task that requires extensive use of 'Gross Body Equilibrium' — e.g., the ability to keep or regain your body balance or stay upright when in an unstable position. in a demanding, real-world setting."
40,low,"A task with minimal or no need for 'Gross Body Equilibrium' — e.g., unrelated to the ability to keep or regain your body balance or stay upright when in an unstable position.."
41,high,"A task that requires extensive use of 'Near Vision' — e.g., the ability to see details at close range (within a few feet of the observer). in a demanding, real-world setting."
41,low,"A task with minimal or no need for 'Near Vision' — e.g., unrelated to the ability to see details at close range (within a few feet of the observer).."
42,high,"A task that requires extensive use of 'Far Vision' — e.g., the ability to see details at a distance. in a demanding, real-world setting."
42,low,"A task with minimal or no need for 'Far Vision' — e.g., unrelated to the ability to see details at a distance.."
43,high,"A task that requires extensive use of 'Peripheral Vision' — e.g., the ability to see objects or the movement of objects to one's side when the eyes are looking ahead. in a demanding, real-world setting."
43,low,"A task with minimal or no need for 'Peripheral Vision' — e.g., unrelated to the ability to see objects or the movement of objects to one's side when the eyes are looking ahead.."
44,high,"A task that requires extensive use of 'Depth Perception' — e.g., the ability to judge which of several objects is closer or farther away, or to judge distance. in a demanding, real-world setting."
44,low,"A task with minimal or no need for 'Depth Perception' — e.g., unrelated to the ability to judge which of several objects is closer or farther away, or to judge distance.."
45,high,"A task that requires extensive use of 'Visual Color Discrimination' — e.g., the ability to match or detect differences between colors, including shades and brightness. in a demanding, real-world setting."
45,low,"A task with minimal or no need for 'Visual Color Discrimination' — e.g., unrelated to the ability to match or detect differences between colors, including shades and brightness.."
46,high,"A task that requires extensive use of 'Night Vision' — e.g., the ability to see under low‑light conditions. in a demanding, real-world setting."
46,low,"A task with minimal or no need for 'Night Vision' — e.g., unrelated to the ability to see under low‑light conditions.."
47,high,"A task that requires extensive use of 'Glare Sensitivity' — e.g., the ability to see objects in the presence of glare or bright lighting. in a demanding, real-world setting."
47,low,"A task with minimal or no need for 'Glare Sensitivity' — e.g., unrelated to the ability to see objects in the presence of glare or bright lighting.."
48,high,"A task that requires extensive use of 'Hearing Sensitivity' — e.g., the ability to detect or tell the differences between sounds that vary in pitch and loudness. in a demanding, real-world setting."
48,low,"A task with minimal or no need for 'Hearing Sensitivity' — e.g., unrelated to the ability to detect or tell the differences between sounds that vary in pitch and loudness.."
49,high,"A task that requires extensive use of 'Auditory Attention' — e.g., the ability to focus on a single source of sound in the presence of other distracting sounds. in a demanding, real-world setting."
49,low,"A task with minimal or no need for 'Auditory Attention' — e.g., unrelated to the ability to focus on a single source of sound in the presence of other distracting sounds.."
50,high,"A task that requires extensive use of 'Sound Localization' — e.g., the ability to tell the direction from which a sound originated. in a demanding, real-world setting."
50,low,"A task with minimal or no need for 'Sound Localization' — e.g., unrelated to the ability to tell the direction from which a sound originated.."
51,high,"A task that requires extensive use of 'Speech Recognition' — e.g., the ability to identify and understand the speech of another person. in a demanding, real-world setting."
51,low,"A task with minimal or no need for 'Speech Recognition' — e.g., unrelated to the ability to identify and understand the speech of another person.."
52,high,"A task that requires extensive use of 'Speech Clarity' — e.g., the ability to speak clearly so others can understand you. in a demanding, real-world setting."
52,low,"A task with minimal or no need for 'Speech Clarity' — e.g., unrelated to the ability to speak clearly so others can understand you.."
